X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,1,2493,2493,2493,2493,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,60,1,7388,7388,7388,7388,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,132843,132843,132843,132843,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,63,1,5508,5508,5508,5508,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,1,3302,3302,3302,3302,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,1,2053,2053,2053,2053,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,20,1,1714,1714,1714,1714,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,64,1,6432,6432,6432,6432,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,64,1,7281,7281,7281,7281,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,1,6969,6969,6969,6969,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,51649,51649,51649,51649,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28,1,6330,6330,6330,6330,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,28,1,6778,6778,6778,6778,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,66,1,7460,7460,7460,7460,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,1,2602,2602,2602,2602,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,59286,59286,59286,59286,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,64,1,8054,8054,8054,8054,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,4693,4693,4693,4693,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66,0,82983,82983,82983,82983,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,64,1,2748,2748,2748,2748,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,64,1,7880,7880,7880,7880,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,64,1,7293,7293,7293,7293,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,1,1933,1933,1933,1933,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,63,0,57258,57258,57258,57258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,1,7378,7378,7378,7378,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,64,0,55372,55372,55372,55372,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,55230,55230,55230,55230,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,64,1,8276,8276,8276,8276,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,65,1,4292,4292,4292,4292,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,42,0,61919,61919,61919,61919,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,1,3770,3770,3770,3770,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,1,8420,8420,8420,8420,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,69,1,5453,5453,5453,5453,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,66,1,1159,1159,1159,1159,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,1,924,924,924,924,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42,1,705,705,705,705,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,106888,106888,106888,106888,1
14,19,44250000,44358294,15,21,50150000,49832649,10,17,37900000,37957203,0,0,0,0,29,43,0,159107,159107,216310,-101041,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,1,1921,1921,1921,1921,-1
6,9,30667889,30700000,6,9,30031555,31500000,8,11,38927305,31000000,7,9,29981164,20000000,38,0,0,5577036,-4404128,-12331433,-10862988,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,76089,76089,76089,76089,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,96,0,51690,51690,51690,51690,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,65,1,5348,5348,5348,5348,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,65,1,4558,4558,4558,4558,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,56074,56074,56074,56074,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,51366,51366,51366,51366,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,64,1,2782,2782,2782,2782,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42,0,67581,67581,67581,67581,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66,1,5583,5583,5583,5583,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,63,1,3488,3488,3488,3488,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,1,5240,5240,5240,5240,-1
8,10,4767147,4839000,29,32,12091668,12079000,33,36,41978373,41954000,13,17,45519685,63077000,30,0,0,1806494,19363809,19339436,19326768,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,1,2931,2931,2931,2931,-1
